,annotators,total1,total2,match2,agreed_overlap,disagreed_overlap,only_anno1,only_anno2,pmcid
413,"B,C",150,150,148,0,0,0,0,PMC4764649
414,"A,B",79,79,75,0,0,0,0,PMC3949526
415,"A,C",79,77,72,0,0,3,1,PMC3949526
416,"B,C",79,77,72,0,0,3,1,PMC3949526
417,"A,B",655,653,652,1,0,2,0,PMC3950279
418,"A,C",655,655,655,0,0,0,0,PMC3950279
419,"B,C",653,655,652,1,0,0,2,PMC3950279
420,"A,B",371,371,371,0,0,0,0,PMC3613406
421,"A,C",371,371,370,0,1,0,0,PMC3613406
422,"B,C",371,371,370,0,1,0,0,PMC3613406
423,"A,B",173,173,172,0,0,0,0,PMC2474741
424,"A,C",173,173,172,0,0,0,0,PMC2474741
425,"B,C",173,173,172,0,0,0,0,PMC2474741
426,"A,B",446,445,444,1,0,1,0,PMC4200867
427,"A,C",446,437,435,1,0,10,0,PMC4200867
428,"B,C",445,437,436,0,0,9,0,PMC4200867
429,"A,B",169,169,169,0,0,0,0,PMC2424173
430,"A,C",169,169,169,0,0,0,0,PMC2424173
431,"B,C",169,169,169,0,0,0,0,PMC2424173
432,"A,B",476,476,475,0,0,1,1,PMC5920331
433,"A,C",476,477,475,0,0,1,2,PMC5920331
434,"B,C",476,477,475,0,0,1,2,PMC5920331
435,"A,B",576,577,575,1,0,0,1,PMC5993813
436,"A,C",576,575,574,0,0,2,1,PMC5993813
437,"B,C",577,575,574,1,0,2,0,PMC5993813
438,"A,B",52,52,51,0,0,0,0,PMC6069148
439,"A,C",52,52,51,0,0,0,0,PMC6069148
440,"B,C",52,52,51,0,0,0,0,PMC6069148
441,"A,B",390,390,384,5,0,1,1,PMC5567653
442,"A,C",390,391,390,0,0,0,1,PMC5567653
443,"B,C",390,391,385,5,0,0,1,PMC5567653
444,"A,B",19,19,19,0,0,0,0,PMC5244658
445,"A,C",19,19,19,0,0,0,0,PMC5244658
446,"B,C",19,19,19,0,0,0,0,PMC5244658
447,"A,B",101,99,98,1,0,2,0,PMC5816796
448,"A,C",101,100,99,1,0,1,0,PMC5816796
449,"B,C",99,100,99,0,0,0,1,PMC5816796
450,"A,B",74,74,74,0,0,0,0,PMC2731044
451,"A,C",74,74,74,0,0,0,0,PMC2731044
452,"B,C",74,74,74,0,0,0,0,PMC2731044
453,"A,B",11,11,11,0,0,0,0,PMC3581133
454,"A,C",11,11,11,0,0,0,0,PMC3581133
455,"B,C",11,11,11,0,0,0,0,PMC3581133
